,t,x_earth,y_earth,x_moon,y_moon,x_geo,y_geo
164,328.9010989010989,-142817649.8866071,45859774.103962936,-142441901.3377212,45916457.681920946,-142851926.1225799,45870780.44974789
165,330.9065934065934,-143587942.58304235,43387817.930485174,-143235122.1924692,43528948.26739333,-143622403.68926227,43398231.00678849
166,332.9120879120879,-144315452.97654006,40902934.27342412,-144004269.4010976,41121027.79092256,-144350088.68525442,40912750.97764974
167,334.9175824175824,-144999964.3039829,38405863.50863209,-144746918.366401,38689355.57813895,-145034764.29541588,38415080.91587417
168,336.9230769230769,-145641272.61390778,35897349.643133715,-145459782.33007172,36231207.81193165,-145676226.51933512,35905965.00704807
169,338.92857142857144,-146239186.82727355,33378140.093447175,-146138875.90240788,33744661.19563994,-146274284.23211208,33386150.8470696
170,340.9340659340659,-146793528.79439327,30848985.462890536,-146779716.31639242,31228734.347617634,-146828759.24130392,30856389.219401628
171,342.9395604395604,-147304133.34801453,28310639.317937583,-147377551.7374461,28683479.41783736,-147339486.34001806,28317433.87137389
172,344.94505494505495,-147770848.35253108,25763857.963691447,-147927604.52529702,26110019.056681078,-147806313.3561357,25770041.289602734
173,346.95054945054943,-148193534.74931195,23209400.21854226,-148425316.55135676,23510526.763770107,-148229101.19765177,23214970.474594712
174,348.95604395604397,-148572066.5981345,20648027.188075267,-148866583.56579182,20888151.646975096,-148607723.89411804,20652982.714600403
175,350.96153846153845,-148906331.1147081,18080502.038298525,-149247966.18892416,18246891.56941567,-148942068.63417563,18084841.35878772
176,352.967032967033,-149196228.7042789,15507589.768255558,-149566866.3409093,15591421.398998471,-149232035.7991679,15511311.589799939
177,354.9725274725275,-149441672.99130398,12930056.982092973,-149821659.75610065,12926885.455747591,-149477538.9928219,12933160.195768679
178,356.97802197802196,-149642590.84518713,10348671.660648832,-150011777.55695793,10258665.150596201,-149678505.06698996,10351155.341847396
179,358.9835164835165,-149798922.4020684,7764202.932631466,-150137732.5633183,7592134.124784712,-149834874.1434449,7766066.3413353
180,360.989010989011,-149910621.08266056,5177420.845456309,-150201088.94310245,4932413.861779706,-149946599.6317204,5178663.426459225
181,362.9945054945055,-149977653.6061274,2589096.135808262,-150204376.81469873,2284142.7185538653,-150013648.24299288,2589717.5188808586
182,365.0,-150000000.0,1.8369701987210298e-08,-150150956.33005184,-348729.3885196216,-150036000.0,1.678144557036947e-08
183,367.0054945054945,-149977653.6061274,-2589096.1358082253,-150044838.44610986,-2963109.7682824098,-150013648.24299288,-2589717.518880817
184,369.010989010989,-149910621.08266056,-5177420.845456205,-149890471.88871792,-5556886.272054547,-149946599.6317204,-5178663.426459117
185,371.0164835164835,-149798922.40206844,-7764202.932631362,-149692507.6055179,-8128998.616645177,-149834874.14344493,-7766066.341335191
186,373.02197802197804,-149642590.84518716,-10348671.66064873,-149455553.19787133,-10679453.943255516,-149678505.06699,-10351155.341847287
187,375.0274725274725,-149441672.99130398,-12930056.98209287,-149183930.35298705,-13209285.799361847,-149477538.9928219,-12933160.19576857
188,377.032967032967,-149196228.70427892,-15507589.768255454,-148881448.13813654,-15720458.730716133,-149232035.79916793,-15511311.589799829
189,379.03846153846155,-148906331.1147081,-18080502.038298424,-148551204.1775274,-18215723.554665644,-148942068.63417563,-18084841.358787615
190,381.04395604395603,-148572066.5981345,-20648027.18807517,-148195424.253692,-20698431.001153756,-148607723.89411804,-20652982.714600302
191,383.04945054945057,-148193534.74931195,-23209400.21854216,-147815348.83753964,-23172313.615341596,-148229101.1976518,-23214970.474594608
192,385.05494505494505,-147770848.35253108,-25763857.963691346,-147411172.5625744,-25641247.498725947,-147806313.3561357,-25770041.289602626
193,387.06043956043953,-147304133.34801456,-28310639.31793741,-146982039.85115325,-28109006.534691088,-147339486.3400181,-28317433.871373717
194,389.0659340659341,-146793528.7943933,-30848985.462890435,-146526096.9229366,-30579022.14292056,-146828759.24130395,-30856389.219401523
195,391.07142857142856,-146239186.82727355,-33378140.093447074,-146040597.42575008,-33054161.313891154,-146274284.23211208,-33386150.847069502
196,393.0769230769231,-145641272.6139078,-35897349.64313362,-145522056.08549166,-35536534.7053159,-145676226.51933515,-35905965.00704797
197,395.0824175824176,-144999964.30398294,-38405863.50863199,-144966442.22525176,-38027344.98829575,-145034764.2954159,-38415080.915874064
198,397.08791208791206,-144315452.97654012,-40902934.273423955,-144369402.88950554,-40526783.49661893,-144350088.68525448,-40912750.97764957
199,399.0934065934066,-143587942.58304238,-43387817.93048507,-143726503.73919326,-43033980.67127382,-143622403.6892623,-43398231.00678839
200,401.0989010989011,-142817649.88660714,-45859774.10396284,-143033474.94098276,-45547012.93964771,-142851926.12257993,-45870780.449747786
201,403.1043956043956,-142004804.39742088,-48318066.26977359,-142286449.00898287,-48062965.67632446,-142038885.55047625,-48329662.605678335
202,405.1098901098901,-141149648.3043565,-50761961.97505054,-141482177.98370707,-50578048.918551,-141183524.21994954,-50774144.84592455
203,407.1153846153846,-140252436.40281224,-53190733.05638029,-140618218.42854708,-53087759.712017246,-140286096.98754892,-53203498.83231381
204,409.1208791208791,-139313436.01879537,-55603655.8567601,-139693074.4303281,-55587082.489905275,-139346871.24343988,-55617000.73416572
205,411.1263736263736,-138332926.92927158,-58000011.441212766,-138706291.01719302,-58070716.871347934,-138366126.8317346,-58013931.44395865
